id	text	watermark
896	One thousand Slim Jims.	RED
897	A nuanced critique.	RED
898	A nautical theme.	RED
899	The black Power Ranger.	RED
900	Neil Patrick Harris.	RED
901	Bill Clinton, naked on a bearskin rug with a saxophone.	RED
902	The hose.	RED
903	Finding Waldo.	RED
904	Fuck Mountain.	RED
905	Unlimited soup, salad, and breadsticks.	RED
906	Syphilitic insanity.	RED
907	Oncoming traffic.	RED
908	Suicide bombers.	RED
909	Some kind of bird-man.	RED
910	Ryan Goslin riding in on a white horse.	RED
911	Living in a trash can.	RED
912	Historical revisionism.	RED
913	A passionate Latino lover.	RED
914	Roland the Farter, flatulist to the king.	RED
915	Consent.	RED
916	An unhinged Ferris wheel rolling toward the sea.	RED
917	A plunger to the face.	RED
918	Shaft.	RED
919	Big Bird's crown, crusty asshole.	RED
920	Filling every orifice with butterscotch pudding.	RED
921	A fortuitous turnip harvest.	RED
922	Buying the right pants to be cool.	RED
923	Getting hilariously gang-banged by the Blue Man Group.	RED
924	A phantasmagoria of anal delights.	RED
925	The new Radiohead album.	RED
926	24-hour media coverage.	RED
927	Gargling jizz.	RED
928	A dollop of sour cream.	RED
929	Demonic possession.	RED
930	Chugging a lava lamp.	RED
931	Jeff Goldblum.	RED
932	The day the birds attacked.	RED
933	Subduing a grizzly bear and making her your wife.	RED
934	A sofa that says \"I have style, but I like to be comfortable.\"	RED
935	Dorito breath.	RED
936	The way white people is.	RED
937	Fetal alcohol syndrome.	RED
938	The Quesadilla Explosion Salad&trade; from Chili's.&reg;	RED
939	Racial profiling.	RED
940	Special musical guest, Cher.	RED
941	A crappy little hand.	RED
942	The systemic destruction of an entire people and their way of life.	RED
943	Clenched butt cheeks.	RED
944	Filing my son with spaghetti.	RED
945	Blowing some dudes in an alley.	RED
946	Words, words, words.	RED
947	Clams.	RED
948	Hot doooooooogs!	RED
949	Andr&eacute; the Giant's enormous, leathery scrotum.	RED
950	A greased-up Matthew McConaughey.	RED
951	A pile of squirming bodies.	RED
952	A bloody pacifier.	RED
953	Medieval Times&reg; Dinner &amp; Tournament.	RED
954	Just the tip.	RED
955	One ring to rule them all.	RED
956	The milk that comes out of a person.	RED
957	A sweet spaceship.	RED
958	Big ol' floppy titties.	RED
959	A 55-gallon drum of lube.	RED
960	Sorcery.	RED
961	Getting your dick stuck in a Chinese finger trap with another dick.	RED
962	Weapons grade plutonium.	RED
963	Mad hacky-sack skills.	RED
964	Emotional baggage.	RED
965	Insatiable bloodlust.	RED
966	Hillary Clinton.	RED
967	Catastrophic urethral trauma.	RED
968	Putting an entire peanut butter and jelly sandwich into the VCR.	RED
969	Crying into the pages of Sylvia Plath.	RED
970	A spontaneous conga line.	RED
971	A Japanese tourist who wants something very badly but cannot communicate it.	RED
972	A boo-boo.	RED
973	A black-owned and operated business.	RED
974	The moist, demanding chasm of his mouth.	RED
975	Velcro.&trade;	RED
976	The shambling corpse of Larry King.	RED
977	Drinking my bro's pee-pee right out of his peen.	RED
978	Quiche.	RED
979	Some really fucked up shit.	RED
980	Warm, velvety muppet sex.	RED
981	The primal, ball-slapping sex your parents are having right now.	RED
982	A bigger, blacker dick.	RED
983	Crabapples all over the fucking sidewalk.	RED
984	Bosnian chick farmers.	RED
985	Sanding off a man's nose.	RED
986	The harsh light of day.	RED
987	Vietnam flashbacks.	RED
988	Savagely beating a mascot.	RED
989	Staring at a painting and going \"hmmmmmm...\"	RED
990	Nubile slave boys.	RED
991	Drinking ten 5-hour ENERGYs&reg; to get fifty continuous hours of energy.	RED
992	A sweaty, panting leather daddy.	RED
993	My manservant, Claude.	RED
994	Khakis.	BLUE
995	Bathing in moonsblood and dancing around the ancient oak.	BLUE
996	The passage of time.	BLUE
997	A one-way ticket to Gary, Indiana.	BLUE
998	The power of the Dark Side.	BLUE
999	A team of lawyers.	BLUE
1000	Getting eaten alive by Guy Fieri.	BLUE
1001	Figuring out how to have sex with a dolphin.	BLUE
1002	Some sort of Asian.	BLUE
1003	Vegetarian options.	BLUE
1004	An inability to form meaningful relationships.	BLUE
1005	One unforgettable night of passion.	BLUE
1006	Important news about Taylor Swift.	BLUE
1007	The all-new Nissan Pathfinder with 0.9% APR financing!	BLUE
1008	Free ice cream, yo.	BLUE
1009	My boyfriend's stupid penis.	BLUE
1010	A mouthful of potato salad.	BLUE
1011	Our new Buffalo Chicken Dippers&reg;!	BLUE
1012	Crying and shitting and eat spaghetti.	BLUE
1013	A fart.	BLUE
1014	Actual mutants with medical conditions and no superpowers.	BLUE
1015	Deez nuts.	BLUE
1016	Africa.	BLUE
1017	Finally finishing off the Indians.	BLUE
1018	Owls, the perfect predator.	BLUE
1019	A dance move that's just sex.	BLUE
1020	Ass to mouth.	BLUE
1021	Bouncing up and down.	BLUE
1022	Walking into a glass door.	BLUE
1023	Eating together like a god damn family for once.	BLUE
1024	No longer finding any Cards Against Humanity card funny.	BLUE
1025	Treasures beyond your wildest dreams.	BLUE
1026	Ejaculating live bees and the bees are angry.	BLUE
1027	Sucking all the milk out of a yak.	BLUE
1028	Falling into the toilet.	BLUE
1029	The color \"puce.\"	BLUE
1030	An oppressed people with a vibrant culture.	BLUE
1031	Out-of-this-world bazongas.	BLUE
1032	Getting caught by the police and going to jail.	BLUE
1033	The sweet song of sword against sword and the braying of mighty war beasts.	BLUE
1034	A sex goblin with a carnival penis.	BLUE
1035	Genghis Khan's DNA.	BLUE
1036	A gender identity that can only be conveyed through slam poetry.	BLUE
1037	The ghost of Marlon Brando.	BLUE
1038	Immortality cream.	BLUE
1039	Butt stuff.	BLUE
1040	Getting offended.	BLUE
1041	My dad's dumb fucking face.	BLUE
1042	A bunch of idiots playing a card game instead of interacting like normal humans.	BLUE
1043	Neil Diamond's Greatest Hits.	BLUE
1044	Whatever a McRib&reg; is made of.	BLUE
1045	Total fucking chaos.	BLUE
1046	Whispering all sexy.	BLUE
1047	Calculating every mannerism so as not to suggest homosexuality.	BLUE
1048	Some shit-hot guitar licks.	BLUE
1049	No clothes on, penis in vagina.	BLUE
1050	Sports.	BLUE
1051	How awesome I am.	BLUE
1052	The white half of Barack Obama.	BLUE
1053	An overwhelming variety of cheeses.	BLUE
1054	Ejaculating inside another man's wife.	BLUE
1055	Getting shot by the police.	BLUE
1056	Beloved television star Bill Cosby.	BLUE
1057	The tiger that killed my father.	BLUE
1058	Changing a person's mind with logic and facts.	BLUE
1059	Child Protective Services.	BLUE
1060	A peyote-fueled vision quest.	BLUE
1061	Cute boys.	BLUE
1062	A hopeless amount of spiders.	BLUE
1063	The swim team, all at once.	BLUE
1064	Whatever you wish, mother.	BLUE
1065	A possible Muslim.	BLUE
1066	All the single ladies.	BLUE
1067	Letting out 20 years' worth of farts.	BLUE
1068	Being paralyzed from the neck down.	BLUE
1069	The eight gay warlocks who dictate the rules of fashion.	BLUE
1070	Shapes and colors.	BLUE
1071	Seeing my village burned and my family slaughtered before my eyes.	BLUE
1072	Filling a man's anus with concrete.	BLUE
1073	Peeing into a girl's butt to make a baby.	BLUE
1074	Meaningless sex.	BLUE
1075	Wearing glasses and sounding smart.	BLUE
1076	Setting my balls on fire and cartwheeling to Ohio.	BLUE
1077	Child support payments.	BLUE
1078	Being John Malkovich.	BLUE
1079	Throwing stones at a man until he dies.	BLUE
1080	A shiny rock that proves I love you.	BLUE
1081	Kale.	BLUE
1082	Stuffing a child's face with Fun Dip&reg; until he starts having fun.	BLUE
1083	A turd.	BLUE
1084	Party Mexicans.	BLUE
1085	Too much cocaine.	BLUE
1086	Like a million alligators.	BLUE
1087	Grammar nazis who are also regular Nazis.	BLUE
1088	A face full of horse cum.	BLUE
1089	Fresh dill from the patio.	BLUE
1090	Boring vaginal sex.	BLUE
1091	Crazy opium eyes.	BLUE
1092	AIDS monkeys.	BLUE
1093	Crippling social anxiety.	BLUE
1094	Not believing in giraffes.	BLUE
1095	An interracial handshake.	BLUE
1096	Irrefutable evidence that God is real.	BLUE
1097	A zero-risk way to make $2,000 from home.	BLUE
1098	My sex dungeon.	BLUE
1099	Being nine years old.	BLUE
1100	Daddy.	BLUE
1101	Unquestioning obedience.	BLUE
1102	A bass drop so huge it tears the starry vault asunder to reveal the face of God.	BLUE
1103	Sharks with legs.	BLUE
1104	Generally having no idea what's going on.	BLUE
1105	Bullets.	BLUE
1106	An unforgettable quincea&ntilde;era.	BLUE
1107	Two whales fucking the shit out of each other.	BLUE
1108	A whole lotta woman.	BLUE
1109	A self-microwaving burrito.	BLUE
1110	Snorting coke off a clown's boner.	BLUE
1111	A buttload of candy.	BLUE
1112	A thrilling chase over the rooftops of Rio de Janeiro.	BLUE
1113	Dem titties.	BLUE
1114	The amount of gay I am.	BLUE
1115	My first period.	BLUE
1116	Common-sense gun control legislation.	BLUE
1117	Being a terrible mother.	BLUE
1118	Being popular and good at sports.	BLUE
1119	Never having sex again.	BLUE
1120	A giant powdery manbaby.	BLUE
1121	A crazy little thing called love.	BLUE
1122	Stupid.	BLUE
1123	The best taquito in the galaxy.	BLUE
1124	Fucking a corpse back to life.	BLUE
1125	A pizza guy who fucked up.	BLUE
1126	Ennui.	BLUE
1127	Injecting speed into one arm and horse tranquilizer into the other.	BLUE
1128	Lots and lots of abortions.	BLUE
1129	Eggs.	BLUE
1130	My worthless son.	BLUE
1131	Blowjobs for everyone.	BLUE
1132	Shitting all over the floor like a bad, bad girl.	BLUE
1133	An uninterrupted history of imperialism and exploitation.	BLUE
1134	The unbelievable world of mushrooms.	BLUE
1135	A horse with no legs.	BLUE
1136	Having been dead for a while.	BLUE
1137	Drinking responsibly.	BLUE
1138	Breastfeeding a ten-year-old.	BLUE
1139	Going to a high school reunion on ketamine.	BLUE
1140	Backwards knees.	BLUE
1141	Gwyneth Paltrow's opinions.	BLUE
1142	The basic suffering that pervades all of existence.	BLUE
1143	Cutting off a flamingo's legs with garden shears.	BLUE
1144	The secret formula for ultimate female satisfaction.	BLUE
1145	Seeing things from Hitler's perspective.	BLUE
1146	A constant need for validation.	BLUE
1147	Jizz.	BLUE
1148	What Jesus would do.	BLUE
1149	A Ugandan warlord.	BLUE
1150	Slowly easing down onto a cucumber.	BLUE
1151	Smoking crack, for instance.	BLUE
1152	A kiss on the lips.	BLUE
1153	The haunting stare of an Iraqi child.	BLUE
1154	A sex comet from Neptune that plunges the Earth into eternal sexiness.	BLUE
1155	Giant sperm from outer space.	BLUE
1156	The euphoric rush of strangling a drifter.	BLUE
1157	Morpheus.	BLUE
1158	Mom's new boyfriend.	BLUE
1159	Blackface.	BLUE
1160	Every ounce of charisma left in Mick Jagger's tired body.	BLUE
1161	Sudden penis loss.	BLUE
1162	Daddy's credit card.	BLUE
1163	Ripping a dog in half.	BLUE
1164	Angelheaded hipsters burning for the ancient heavenly connection to the starry dynamo in the machinery of the night.	BLUE
1165	Interspecies marriage.	BLUE
1166	Cancer.	BLUE
1167	The male gaze.	BLUE
1168	Being worshipped as the one true God.	BLUE
1169	All these decorative pillows.	BLUE
1170	Unrelenting genital punishment.	BLUE
1171	Exploding pigeons.	BLUE
1172	A disappointing salad.	BLUE
1173	The dentist.	BLUE
1174	Moderate-to-severe joint pain.	BLUE
1175	Getting drive-by shot.	BLUE
1176	The black half of Barack Obama.	BLUE
1177	Western standards of beauty.	BLUE
1178	A reason not to commit suicide.	BLUE
1179	40 acres and a mule.	BLUE
1180	Such a big boy.	BLUE
1181	10 Incredible Facts About the Anus.	BLUE
1182	A manhole.	BLUE
1183	The size of my penis.	BLUE
1184	The complex geopolitical quagmire that is the Middle East.	BLUE
1185	My dead son's baseball glove.	BLUE
1186	Robots who just want to party.	BLUE
1187	A whole new kind of porn.	BLUE
1188	Ambiguous sarcasm.	BLUE
1189	Russian super-tuberculosis.	BLUE
1190	Prince Ali, fabulous he, Ali Ababwa.	BLUE
1191	Doing the right stuff to her nipples.	BLUE
1192	Ancient Athenian boy-fucking.	BLUE
1193	The eighth graders.	BLUE
1194	September 11th, 2001.	BLUE
1195	The safe word.	BLUE
1196	Doo-doo.	BLUE
1197	Blackula.	BLUE
1198	Anal fissures like you wouldn't believe.	BLUE
1199	Texas.	BLUE
1200	Going down on a woman, discovering that her vaginas is filled with eyeballs, and being totally into that.	BLUE
1201	P.F. Chang himself.	BLUE
1202	Almost giving money to a homeless person.	BLUE
1203	Depression.	BLUE
1204	Growing up chained to a radiator in perpetual darkness.	BLUE
1205	Three consecutive seconds of happiness.	BLUE
1206	Going inside at some point because of the mosquitoes.	BLUE
1207	Pussy.	BLUE
1208	Unsheathing my massive horse cock.	BLUE
1209	A woman.	BLUE
1210	Turning the rivers red with the blood of infidels.	BLUE
1211	A woman who is so cool that he rides on a motorcycle.	BLUE
1212	The peaceful and nonthreatening rise of China.	BLUE
1213	A chimpanzee in sunglasses fucking your wife.	BLUE
1214	Finding a nice elevator to poop in.	GREEN
1215	An incurable homosexual.	GREEN
1216	The body of a 46-year-old man.	GREEN
1217	Mixing M&amp;Ms and Skittles like some kind of psychopath.	GREEN
1218	Grunting for ten minutes and then peeing sand.	GREEN
1219	Gay thoughts.	GREEN
1220	When the big truck goes \"Toot! Toot!\"	GREEN
1221	Water.	GREEN
1222	Becoming the President of the United States.	GREEN
1223	Hot lettuce.	GREEN
1224	Rock-hard tits and a huge vagina.	GREEN
1225	Meatloaf, the man.	GREEN
1226	Smashing my balls at the moment of climax.	GREEN
1227	A creature made of penises that must constantly arouse itself to survive.	GREEN
1228	My brother's hot friends.	GREEN
1229	You.	GREEN
1230	Getting high with mom.	GREEN
1231	Twisting my cock and balls into a balloon poodle.	GREEN
1232	Loud, scary thunder.	GREEN
1233	Whomsoever let the dogs out.	GREEN
1234	Having a vagina.	GREEN
1235	A man with the head of a goat and the body of a goat.	GREEN
1236	Taking the form of a falcon.	GREEN
1237	A hug.	GREEN
1238	Putting more black people in jail.	GREEN
1239	Trevor, the world's greatest boyfriend.	GREEN
1240	Anal.	GREEN
1241	Just now finding out about the Armenian Genocide.	GREEN
1242	Getting the Dorito crumbs out of my pubes.	GREEN
1243	A man in a suit with perfect hair who tells you beautiful lies.	GREEN
1244	Critical thinking.	GREEN
1245	Quacking like a duck in lieu of a cogent argument.	GREEN
1246	A long business meeting with no obvious purpose.	GREEN
1247	Facilitating dialogue and deconstructing binaries.	GREEN
1248	Getting killed and dragged up a tree by a leopard.	GREEN
1249	Brunch.	GREEN
1250	Child labor.	GREEN
1251	Esmeralda, my most beautiful daughter.	GREEN
1252	The feeling of going to McDonald's as a 6-year-old.	GREEN
1253	Eating people.	GREEN
1254	Art.	GREEN
1255	Having sex with your mom.	GREEN
1256	The hottest MILF in Dallas.	GREEN
1257	Getting trapped in a conversation about Ayn Rand.	GREEN
1258	Happy daddies with happy sandals.	GREEN
1259	A dolphin that learns to talk and becomes the Dead of Harvard Law School.	GREEN
1260	The graceful path of an autumn leaf as it falls to its earthen cradle.	GREEN
1261	Meatloaf, the food.	GREEN
1262	10,000 shrieking teenage girls.	GREEN
1263	Chris Hemsworth.	GREEN
1264	Straight blazin' 24/7.	GREEN
1265	Objectifying women.	GREEN
1266	The mysterious fog rolling into town.	GREEN
1267	Math.	GREEN
1268	Restoring Germany to its former glory.	GREEN
1269	Exploring each other's buttholes.	GREEN
1270	An old dog full of tumors.	GREEN
1271	Antidepressants.	GREEN
1272	Having an awesome time drinking and driving.	GREEN
1273	Jazz.	GREEN
1274	Dumpster juice.	GREEN
1275	Raising three kids on minimum wage.	GREEN
1276	Going to bed at a reasonable hour.	GREEN
1277	10 football players with erections barreling towards you at full speed.	GREEN
1278	Working so hard to have muscles and then having them.	GREEN
1279	Turning 32.	GREEN
1280	Albert Einstein but if he had a huge muscles and a rhinoceros cock.	GREEN
1281	Assassinating the president.	GREEN
1282	A woman's right to choose.	GREEN
1283	Eternal screaming madness.	GREEN
1284	Late-stage dementia.	GREEN
1285	Consensual, nonreproductive incest.	GREEN
1286	Swearing praise upon the Sultan's hideous daughters.	GREEN
1287	A cheerfulness that belies a deep-seated self-loathing.	GREEN
1288	An arrangement wherein I give a person money they have sex with me.	GREEN
1289	A genetic predisposition for alcoholism.	GREEN
1290	The wind.	GREEN
1291	Getting pegged.	GREEN
1292	Period poops.	GREEN
1293	The chicken from Popeyes. &reg;	GREEN
1294	A massive collection of child pornography.	GREEN
1295	A big, beautiful mouth packed to the brim with sparkling teeth.	GREEN
1296	Pooping in the potty.	GREEN
1297	Getting eaten out by a dog.	GREEN
1298	Munchin' puss.	GREEN
1299	It being too late to stop having sex with a horse.	GREEN
1300	One of those \"blow jobs\" I've been hearing so much about.	GREEN
1301	The lived experience of African Americans.	GREEN
1302	Prematurely ejaculating like a total loser.	GREEN
1303	Big, smart money boys tap-tapping on their keyboards.	GREEN
1304	Homework.	GREEN
1305	A finger up the butt.	GREEN
1306	Tiny, rancid girl farts.	GREEN
1307	The sweet, forbidden meat of the money.	GREEN
1308	Farting all over my face with your tight little asshole.	GREEN
1309	Doing a somersault and barfing.	GREEN
1310	The government.	GREEN
1311	How good lead paint taste.	GREEN
1312	Every man's ultimate fantasy: a perfectly cylindrical vagina.	GREEN
1313	Rubbing my bush all over your bald head.	GREEN
1314	Feeling the emotion of anger.	GREEN
1315	Gregor, my largest son.	GREEN
1316	A strong horse and enough rations for thirty days.	GREEN
1317	Getting aborted.	GREEN
1318	Systems and policies designed to preserve centuries-old power structures.	GREEN
1319	Overthrowing the democratically-elected government of Chile.	GREEN
1320	A weird guy who says weird stuff and weirds me out.	GREEN
1321	How strange it is to be anything at all.	GREEN
1322	Twenty cheerleaders laughing at your tiny penis.	GREEN
1323	Everything.	GREEN
1324	The flaming wreckage of the International Space Station.	GREEN
1325	A duffel bag full of lizards.	GREEN
1326	Beyonc&eacute;.	GREEN
1327	The fear and hatred in men's hearts.	GREEN
1328	One of them big-city Jew lawyers.	GREEN
1329	An empowered woman.	GREEN
1330	Tables.	GREEN
1331	The amount of baby carrots I can fit up my ass.	GREEN
1332	Farting a huge shit out of my pussy.	GREEN
1333	Being sexually attracted to children.	GREEN
1334	Participating.	GREEN
1335	Blossoming into a beautiful young woman.	GREEN
1336	Discovering that what I really want in life is to kill people and have sex with their corpses.	GREEN
1337	Breastfeeding in public like a radiant earth goddess.	GREEN
1338	ISIS.	GREEN
1339	All these people I've killed.	GREEN
1340	The full force of the American military.	GREEN
1341	Eating ass.	GREEN
1342	Who really did 9/11.	GREEN
1343	Condoleezza Rice.	GREEN
1344	Content.	GREEN
1345	Creamy slices of real, California avocado.	GREEN
1346	How sad it will be when Morgan Freeman dies.	GREEN
1347	A black friend.	GREEN
1348	Whooping your ass at Mario Kart.	GREEN
1349	Sudden and unwanted slam poetry.	GREEN
1350	A cold and indifferent universe.	GREEN
1351	The best, deepest quotes from The Dark Night.	GREEN
1352	Salsa Night at Dave's Cantina.	GREEN
1353	Dominating a man by peeing on his eldest son.	GREEN
1354	Two shitty kids and a garbage husband.	GREEN
1355	The Rwandan Genocide.	GREEN
1356	The LGBT community.	GREEN
1357	Founding a major world religion.	GREEN
1358	Rolling so hard.	GREEN
1359	My huge penis and substantial fortune.	GREEN
1360	Forty-five minutes of finger blasting.	GREEN
1361	How great my ass looks in these jeans.	GREEN
1362	Pooping in a leotard and hoping no one notices.	GREEN
1363	Guns.	GREEN
1364	Getting this party started!	GREEN
1365	Twenty bucks.	GREEN
1366	Getting laid like all the time.	GREEN
1367	A big ol' plate of fettuccine alfredo.	GREEN
1368	Showing all the boys my pussy.	GREEN
1369	Fucking me good and taking me to Red Lobster.&reg;	GREEN
1370	A terrified fat child who won't come out of the bushes.	GREEN
1371	Doritos and a Fruit Roll-Up.	GREEN
1372	Mommy and daddy fighting all the time.	GREEN
1373	Holding the proper political beliefs of my time to attract a mate.	GREEN
1374	Onions.	GREEN
1375	Self-identifying as a DJ.	GREEN
1376	Watching you die.	GREEN
1377	Some real spicy shrimps.	GREEN
1378	A burrito that's just sour cream.	GREEN
1379	The bond between a woman and her horse.	GREEN
1380	The secret to truly resilient hair.	GREEN
1381	Mental illness.	GREEN
1382	Gayle from HR.	GREEN
1383	Informing you that I am a registered sex offender.	GREEN
1384	A negative body image that is totally justified.	GREEN
1385	Political correctness.	GREEN
1386	The clown that followed me home from the grocery store.	GREEN
1387	That bitch, Stacy.	GREEN
1388	Ejaculating at the apex of a cartwheel.	GREEN
1389	Gazpacho.	GREEN
1390	Having sex with a man and then eating his head.	GREEN
1391	An older man.	GREEN
1392	An X-Man whose power is that he has sex with dogs and children.	GREEN
1393	Out-of-control teenage blowjob parties.	GREEN
1394	Tender chunks of all-white-meat chicken.	GREEN
1395	Crushing the patriarchy.	GREEN
1396	The full blown marginalization of ugly people.	GREEN
1397	Aborting the shit out of a fetus.	GREEN
1398	Film roles for actresses over 40.	GREEN
1399	Plowing that ass like a New England corn farmer.	GREEN
1400	Huge big balls full of jizz.	GREEN
1401	Some of that good dick.	GREEN
1402	Being turned into sausages.	GREEN
1403	Hating Jews.	GREEN
1404	Crazy anal orgasms.	GREEN
1405	Regurgitating a half-digested sparrow.	GREEN
1406	The ol' penis-in-the-popcorn surprise.	GREEN
1407	A tiny fireman who puts out tiny fires.	GREEN
1408	Dis bitch.	GREEN
1409	Trees.	GREEN
1410	Three hours of nonstop penetration.	GREEN
1411	Slamming a dunk.	GREEN
1412	Starting a shitty podcast.	GREEN
1413	Gary.	GREEN
1414	Feminism.	GREEN
1415	Our baby.	GREEN
1416	Falling into a pit of waffles.	GREEN
1417	A woman's perspective.	GREEN
1418	Chipotle.	GREEN
1419	Scissoring, if that's a thing.	GREEN
1420	Watching a hot person eat.	GREEN
1421	Defeating a gorilla in single combat.	GREEN
1422	Bad emotions I don't want.	GREEN
1423	A creepy child singing a nursery rhyme.	GREEN
1424	Comprehensive immigration reform.	GREEN
1425	Denying the Holocaust.	GREEN
1426	Two beautiful pig sisters.	GREEN
1427	Catching a live salmon in your mouth.	GREEN
1428	Daddy going away forever.	GREEN
1429	A medium horchata.	GREEN
1430	Libertarians.	GREEN
1431	Picking up a glass of water and taking a sip and being the president.	GREEN
1432	Waking up inside of a tornado.	GREEN
1433	Making out and stuff.	GREEN
1434	A slowly encroaching circle of wolves.	GREEN
1435	Opening your mouth to talk and a big penis fops out.	GREEN
1436	Eating too many Cinnabons and then vomiting and then eating the vomit.	GREEN
1437	Seizing control of the means of production.	GREEN
1438	Misogyny.	GREEN
1439	Thinking about what eating even is.	GREEN
1440	Dropping dead in a Sbarro's bathroom and not being found for 72 hours.	GREEN
1441	Sucking each other's penises for hours on end.	GREEN
1442	Awesome pictures of planets and stuff.	GREEN
1443	Microaggressions.	GREEN
1444	Pretending to be one of the guys but actually being the spider god.	GREEN
1445	Fucking my therapist.	GREEN
1446	Having sex with a beautiful person.	GREEN
1447	Moon people.	GREEN
1448	Jason, the teen mayor.	GREEN
1449	Quinoa.	GREEN
1450	China.	GREEN
1451	Menopause.	GREEN
1452	My dog dying.	GREEN
1453	A gun that shoots cobras.	GREEN
1454	Reaching an age where barbecue chips are better than sex.	GREEN
1455	Going around pulling people's tampons out.	GREEN
1456	Playing my asshole like a trumpet.	GREEN
1457	Getting blasted in the face by a t-shirt cannon.	GREEN
1458	Getting naked too soon.	GREEN
1459	Pamela Anderson's boobs running in slow motion.	90s
1460	A bus that will explode if it goes under 50 miles per hour.	90s
1461	<i>Pure Moods</i> , Vol. 1.	90s
1462	Jerking off to a 10-second RealMedia clip.	90s
1463	Pizza in the morning, pizza in the evening, pizza at supper time.	90s
1464	Stabbing the shit out of a Capri Sun.	90s
1465	Angels interfering in an otherwise fair baseball game.	90s
1466	Sucking the President's dick.	90s
1467	Sunny D! Alright!	90s
1468	The Great Cornholio.	90s
1469	Painting with all the colors of the wind.	90s
1470	Cool 90s up-in-the-front hair.	90s
1471	The Y2K bug.	90s
1472	A mulatto, an albino, a mosquito, and my libido.	90s
1473	Liking big butts and not being able to lie about it.	90s
1474	Deregulating the mortgage market.	90s
1475	Kurt Cobain's death.	90s
1476	A threesome with 1996 Denise Richards and 1999 Denise Richards.	90s
1477	Freeing Willy.	90s
1478	Several Michael Keatons.	90s
1479	Patti Mayonnaise.	90s
1480	Wearing Nicolas Cage's face.	90s
1481	Log.&trade;	90s
1482	Santa's heavy sack.	❄2012
1483	Donald Trump holding his nose while he eats pussy.	V4HIL
1484	Black lives mattering.	V4HIL
1485	Kicking the middle class in the balls with a regressive tax code.	V4HIL
1486	Slapping Ted Cruz over and over.	V4HIL
1487	Eating the president's pussy.	V4HIL
1488	Keeping the government out of my vagina.	V4HIL
1489	The fact that Hillary Clinton is a woman.	V4HIL
1490	Increasing economic inequality and political polarization.	V4HIL
1491	The Bernie Sanders revolution.	V4HIL
1492	A beautiful, ever-expanding circle of inclusivity that will never include Republicans.	V4HIL
1493	Letting Bernie Sanders rest his world-weary head on your lap.	V4HIL
1494	The systemic disenfranchisement of black voters.	V4HIL
1495	Eating an entire snowman.	❄2013
1496	A Christmas stocking full of coleslaw.	❄2013
1497	Elf cum.	❄2013
1498	Giving money and personal information to strangers on the Internet.	❄2013
1499	The royal afterbirth.	❄2013
1500	A magical tablet containing a world of unlimited pornography.	❄2013
1501	A toxic family environment.	❄2013
1502	Breeding elves for their priceless semen.	❄2013
1503	Clearing a bloody path through Walmart with a scimitar.	❄2013
1504	Slicing a ham in icy silence.	❄2013
1505	A simultaneous nightmare and wet dream starring Sigourney Weaver.	❄2013
1506	A visually arresting turtleneck.	❄2013
1507	The shittier, Jewish version of Christmas.	❄2013
1508	Gift-wrapping a live hamster.	❄2013
1509	Moses gargling Jesus's balls while Shiva and the Buddha penetrate his divine hand holes.	❄2013
1510	Socks.	❄2013
1511	These low, low prices!	❄2013
1512	Finding out that Santa isn't real.	❄2013
1513	The tiny, calloused hands of the Chinese children that made this card.	❄2013
1514	The Star Wars Holiday Special.	❄2013
1515	Rudolph's bright red balls.	❄2013
1516	Jizzing into Santa's beard.	❄2013
1517	Being blind and deaf and having no limbs.	❄2013
1518	My hot cousin.	❄2013
1519	Mall Santa.	❄2013
1520	The Hawaiian goddess Kapo and her flying detachable vagina.	❄2013
1521	Taking down Santa with a surface-to-air missile.	❄2013
1522	Pretending to be happy.	❄2013
1523	Fucking up \"Silent Night\" in front of 300 parents.	❄2013
1524	Krampus, the Austrian Christmas monster.	❄2013
1525	Several intertwining love stories featuring Hugh Grant.	❄2013
1526	Space Jam on VHS.	❄2013
1527	Swapping bodies with mom for a day.	❄2013
1528	Another shitty year.	❄2013
1529	Immaculate conception.	❄2013
1530	People with cake in their mouths talking about how good cake is.	❄2013
1531	Piece of shit Christmas cards with no money in them.	❄2013
1532	Congress's flaccid penises withering away beneath their suit pants.	❄2013
1533	Having a strong opinion about Obamacare.	❄2013
1534	Whatever Kwanzaa is supposed to be about.	❄2013
1535	A Hungry-Man&trade; Frozen Christmas Dinner for One.	❄2013
1536	Making up for 10 years of shitty parenting with a PlayStation.	❄2013
1537	The Grinch's musty, cum-stained pelt.	❄2013
1538	Actually voting for Donald Trump to be President of the actual United States.	V4 45
1539	Growing up and becoming a Republican.	V4 45
1540	A liberal bias.	V4 45
1541	Full-on socialism.	V4 45
1542	Hating Hillary Clinton.	V4 45
1543	Jeb!	V4 45
1544	Conservative talking points.	V4 45
1545	Courageously going ahead with that racist comment.	V4 45
1546	The good, hardworking people of Dubuque, Iowa.	V4 45
1547	Dispelling with this fiction that Barack Obama doesn't know what he's doing.	V4 45
1548	Shouting the loudest.	V4 45
1549	Sound fiscal policy.	V4 45
1550	Boxing up my feelings.	BOX
1551	An alternate universe in which boxes store things inside of people.	BOX
1552	Being a motherfucking box.	BOX
1553	The Boxcar Children.	BOX
1554	A box that is conscious and wishes it weren't a box.	BOX
1555	A box within a box.	BOX
1556	A man-shaped box.	BOX
1557	A world without boxes.	BOX
